1,2,3,4,5,6,y,class_id
58,232,226,286,297,355,442,103507
232,226,286,297,355,442,1050,103507
226,286,297,355,442,1050,481,103507
286,297,355,442,1050,481,1433,103507
297,355,442,1050,481,1433,993,103507
355,442,1050,481,1433,993,953,103507
442,1050,481,1433,993,953,650,103507
1050,481,1433,993,953,650,145,103507
481,1433,993,953,650,145,772,103507
1433,993,953,650,145,772,829,103507
993,953,650,145,772,829,378,103507
953,650,145,772,829,378,406,103507
650,145,772,829,378,406,684,103507
145,772,829,378,406,684,632,103507
772,829,378,406,684,632,876,103507
829,378,406,684,632,876,1653,103507
378,406,684,632,876,1653,499,103507
406,684,632,876,1653,499,435,103507
684,632,876,1653,499,435,371,103507
632,876,1653,499,435,371,290,103507
876,1653,499,435,371,290,429,103507
1653,499,435,371,290,429,371,103507
499,435,371,290,429,371,313,103507
435,371,290,429,371,313,180,103507
371,290,429,371,313,180,186,103507
290,429,371,313,180,186,180,103507
15,83,195,113,174,225,263,124140
83,195,113,174,225,263,248,124140
195,113,174,225,263,248,286,124140
113,174,225,263,248,286,294,124140
174,225,263,248,286,294,233,124140
225,263,248,286,294,233,233,124140
263,248,286,294,233,233,338,124140
248,286,294,233,233,338,309,124140
286,294,233,233,338,309,346,124140
294,233,233,338,309,346,316,124140
233,233,338,309,346,316,376,124140
233,338,309,346,316,376,241,124140
338,309,346,316,376,241,271,124140
309,346,316,376,241,271,324,124140
346,316,376,241,271,324,459,124140
316,376,241,271,324,459,354,124140
376,241,271,324,459,354,248,124140
241,271,324,459,354,248,324,124140
271,324,459,354,248,324,263,124140
324,459,354,248,324,263,143,124140
459,354,248,324,263,143,211,124140
354,248,324,263,143,211,406,124140
248,324,263,143,211,406,331,124140
324,263,143,211,406,331,293,124140
263,143,211,406,331,293,301,124140
143,211,406,331,293,301,526,124140
211,406,331,293,301,526,316,124140
406,331,293,301,526,316,203,124140
331,293,301,526,316,203,210,124140
293,301,526,316,203,210,218,124140
301,526,316,203,210,218,263,124140
526,316,203,210,218,263,256,124140
316,203,210,218,263,256,255,124140
203,210,218,263,256,255,226,124140
210,218,263,256,255,226,285,124140
218,263,256,255,226,285,263,124140
90,156,91,74,130,164,188,125403
156,91,74,130,164,188,131,125403
91,74,130,164,188,131,124,125403
74,130,164,188,131,124,107,125403
130,164,188,131,124,107,147,125403
164,188,131,124,107,147,123,125403
188,131,124,107,147,123,238,125403
131,124,107,147,123,238,90,125403
124,107,147,123,238,90,156,125403
107,147,123,238,90,156,139,125403
147,123,238,90,156,139,230,125403
123,238,90,156,139,230,131,125403
238,90,156,139,230,131,246,125403
90,156,139,230,131,246,155,125403
156,139,230,131,246,155,172,125403
139,230,131,246,155,172,114,125403
230,131,246,155,172,114,222,125403
131,246,155,172,114,222,99,125403
246,155,172,114,222,99,164,125403
155,172,114,222,99,164,89,125403
172,114,222,99,164,89,156,125403
114,222,99,164,89,156,230,125403
222,99,164,89,156,230,65,125403
99,164,89,156,230,65,106,125403
164,89,156,230,65,106,222,125403
89,156,230,65,106,222,147,125403
156,230,65,106,222,147,139,125403
230,65,106,222,147,139,98,125403
65,106,222,147,139,98,188,125403
106,222,147,139,98,188,164,125403
222,147,139,98,188,164,147,125403
147,139,98,188,164,147,115,125403
139,98,188,164,147,115,140,125403
98,188,164,147,115,140,270,125403
188,164,147,115,140,270,90,125403
164,147,115,140,270,90,164,125403
147,115,140,270,90,164,213,125403
115,140,270,90,164,213,213,125403
140,270,90,164,213,213,197,125403
270,90,164,213,213,197,115,125403
90,164,213,213,197,115,148,125403
164,213,213,197,115,148,213,125403
213,213,197,115,148,213,156,125403
213,197,115,148,213,156,115,125403
197,115,148,213,156,115,197,125403
115,148,213,156,115,197,361,125403
148,213,156,115,197,361,156,125403
213,156,115,197,361,156,132,125403
156,115,197,361,156,132,172,125403
115,197,361,156,132,172,197,125403
197,361,156,132,172,197,247,125403
361,156,132,172,197,247,99,125403
156,132,172,197,247,99,131,125403
132,172,197,247,99,131,182,125403
172,197,247,99,131,182,172,125403
197,247,99,131,182,172,131,125403
247,99,131,182,172,131,360,125403
99,131,182,172,131,360,327,125403
131,182,172,131,360,327,279,125403
182,172,131,360,327,279,343,125403
172,131,360,327,279,343,418,125403
131,360,327,279,343,418,311,125403
360,327,279,343,418,311,328,125403
327,279,343,418,311,328,156,125403
665,351,274,231,375,410,537,136916
351,274,231,375,410,537,462,136916
274,231,375,410,537,462,366,136916
231,375,410,537,462,366,477,136916
375,410,537,462,366,477,206,136916
410,537,462,366,477,206,358,136916
537,462,366,477,206,358,613,136916
462,366,477,206,358,613,214,136916
366,477,206,358,613,214,341,136916
477,206,358,613,214,341,317,136916
206,358,613,214,341,317,546,136916
358,613,214,341,317,546,349,136916
613,214,341,317,546,349,452,136916
214,341,317,546,349,452,478,136916
341,317,546,349,452,478,715,136916
317,546,349,452,478,715,546,136916
546,349,452,478,715,546,452,136916
349,452,478,715,546,452,392,136916
452,478,715,546,452,392,639,136916
478,715,546,452,392,639,307,136916
715,546,452,392,639,307,189,136916
546,452,392,639,307,189,257,136916
452,392,639,307,189,257,233,136916
392,639,307,189,257,233,300,136916
639,307,189,257,233,300,334,136916
307,189,257,233,300,334,324,136916
189,257,233,300,334,324,377,136916
257,233,300,334,324,377,307,136916
233,300,334,324,377,307,256,136916
300,334,324,377,307,256,249,136916
334,324,377,307,256,249,444,136916
324,377,307,256,249,444,283,136916
377,307,256,249,444,283,282,136916
307,256,249,444,283,282,291,136916
256,249,444,283,282,291,179,136916
249,444,283,282,291,179,300,136916
444,283,282,291,179,300,264,136916
283,282,291,179,300,264,342,136916
282,291,179,300,264,342,315,136916
291,179,300,264,342,315,239,136916
179,300,264,342,315,239,247,136916
300,264,342,315,239,247,290,136916
264,342,315,239,247,290,256,136916
342,315,239,247,290,256,120,136916
315,239,247,290,256,120,256,136916
239,247,290,256,120,256,299,136916
247,290,256,120,256,299,248,136916
290,256,120,256,299,248,247,136916
256,120,256,299,248,247,290,136916
120,256,299,248,247,290,188,136916
256,299,248,247,290,188,171,136916
299,248,247,290,188,171,180,136916
248,247,290,188,171,180,213,136916
247,290,188,171,180,213,256,136916
290,188,171,180,213,256,213,136916
188,171,180,213,256,213,196,136916
171,180,213,256,213,196,213,136916
180,213,256,213,196,213,137,136916
213,256,213,196,213,137,162,136916
256,213,196,213,137,162,179,136916
213,196,213,137,162,179,162,136916
196,213,137,162,179,162,179,136916
213,137,162,179,162,179,145,136916
137,162,179,162,179,145,162,136916
107.25,107.25,67.0,57.0,86.0,219.0,152.0,169673.0
8,63,64,126,237,229,206,175962
63,64,126,237,229,206,269,175962
64,126,237,229,206,269,356,175962
126,237,229,206,269,356,387,175962
237,229,206,269,356,387,340,175962
229,206,269,356,387,340,513,175962
206,269,356,387,340,513,316,175962
269,356,387,340,513,316,680,175962
356,387,340,513,316,680,435,175962
387,340,513,316,680,435,562,175962
340,513,316,680,435,562,522,175962
513,316,680,435,562,522,474,175962
316,680,435,562,522,474,380,175962
680,435,562,522,474,380,482,175962
435,562,522,474,380,482,459,175962
562,522,474,380,482,459,594,175962
522,474,380,482,459,594,657,175962
474,380,482,459,594,657,442,175962
380,482,459,594,657,442,1627,175962
482,459,594,657,442,1627,727,175962
459,594,657,442,1627,727,450,175962
594,657,442,1627,727,450,356,175962
657,442,1627,727,450,356,371,175962
442,1627,727,450,356,371,364,175962
1627,727,450,356,371,364,254,175962
727,450,356,371,364,254,387,175962
450,356,371,364,254,387,309,175962
356,371,364,254,387,309,348,175962
371,364,254,387,309,348,411,175962
364,254,387,309,348,411,269,175962
254,387,309,348,411,269,222,175962
387,309,348,411,269,222,302,175962
309,348,411,269,222,302,214,175962
348,411,269,222,302,214,372,175962
411,269,222,302,214,372,593,175962
269,222,302,214,372,593,214,175962
222,302,214,372,593,214,221,175962
302,214,372,593,214,221,269,175962
214,372,593,214,221,269,134,175962
372,593,214,221,269,134,151,175962
593,214,221,269,134,151,269,175962
214,221,269,134,151,269,411,175962
221,269,134,151,269,411,633,175962
269,134,151,269,411,633,396,175962
134,151,269,411,633,396,151,175962
151,269,411,633,396,151,301,175962
269,411,633,396,151,301,134,175962
411,633,396,151,301,134,167,175962
633,396,151,301,134,167,143,175962
396,151,301,134,167,143,119,175962
151,301,134,167,143,119,103,175962
301,134,167,143,119,103,214,175962
134,167,143,119,103,214,237,175962
1739,1493,1248,895,918,683,873,178529
1493,1248,895,918,683,873,644,178529
1248,895,918,683,873,644,694,178529
895,918,683,873,644,694,742,178529
918,683,873,644,694,742,872,178529
683,873,644,694,742,872,639,178529
873,644,694,742,872,639,1465,178529
644,694,742,872,639,1465,943,178529
694,742,872,639,1465,943,999,178529
742,872,639,1465,943,999,781,178529
872,639,1465,943,999,781,907,178529
639,1465,943,999,781,907,684,178529
1465,943,999,781,907,684,759,178529
943,999,781,907,684,759,644,178529
999,781,907,684,759,644,958,178529
781,907,684,759,644,958,884,178529
907,684,759,644,958,884,730,178529
684,759,644,958,884,730,587,178529
759,644,958,884,730,587,1567,178529
644,958,884,730,587,1567,975,178529
958,884,730,587,1567,975,872,178529
884,730,587,1567,975,872,632,178529
730,587,1567,975,872,632,513,178529
587,1567,975,872,632,513,456,178529
1567,975,872,632,513,456,314,178529
975,872,632,513,456,314,359,178529
872,632,513,456,314,359,525,178529
632,513,456,314,359,525,491,178529
513,456,314,359,525,491,513,178529
456,314,359,525,491,513,616,178529
314,359,525,491,513,616,924,178529
359,525,491,513,616,924,634,178529
525,491,513,616,924,634,655,178529
491,513,616,924,634,655,508,178529
513,616,924,634,655,508,496,178529
616,924,634,655,508,496,320,178529
924,634,655,508,496,320,319,178529
634,655,508,496,320,319,274,178529
655,508,496,320,319,274,537,178529
508,496,320,319,274,537,479,178529
496,320,319,274,537,479,399,178529
