epoch,loss,lr,val_loss
0,353.76503178065957,0.001,296.44023137241123
1,308.54286742311325,0.001,292.15702441222686
2,293.05028943506767,0.001,266.4884438192038
3,269.7808438074175,0.001,250.73755190938422
4,252.8687678570469,0.001,229.91189453911704
5,226.28378350809405,0.001,202.47467786745918
6,206.37469002758417,0.001,177.18158163855335
7,187.7250559336043,0.001,164.5934954191509
8,182.01168257013202,0.001,159.79678146411473
9,174.7185854641287,0.001,157.96373372636216
10,166.53996990052045,0.001,149.6182490675585
11,160.64287546789313,0.001,143.85458668218135
12,157.96793986295464,0.001,145.65680415955572
13,157.93095179274363,0.001,136.4891801172373
14,153.94658633756194,0.001,131.29858745079164
15,151.86612679451628,0.001,136.07955449121724
16,147.55479357507045,0.001,129.26859489957192
17,146.65173463877937,0.001,136.49763050345678
18,144.85665699105257,0.001,133.3304277250001
19,141.41188762189975,0.001,127.2541921105472
20,140.99872180509124,0.001,128.53456046886015
21,140.9719698951973,0.001,124.36804433591128
22,138.8538702335729,0.001,121.76374654636732
23,137.59516649625746,0.001,124.24703669727296
24,136.92344135151993,0.001,121.54794622927295
25,137.2112237088868,0.001,124.76735811817403
26,135.41870037405093,0.001,123.14295972584398
27,135.9257103728602,0.001,121.16292394193492
28,133.42140012994648,0.001,119.99278041294643
29,133.93226278242068,0.001,119.02746100994237
30,132.71113522793658,0.001,120.10152743428658
31,131.13714978495057,0.001,114.46394249806471
32,127.87114809893835,0.001,120.67174881587863
33,129.49088417201804,0.001,114.40289598376872
34,128.89905452970527,0.001,114.8638207981589
35,132.85079539700345,0.001,113.25225169574152
36,129.211962493974,0.001,117.4484529751328
37,125.69392210260273,0.001,115.08436827039873
38,127.39399772857227,0.001,109.93581145355192
39,125.30012591989438,0.001,117.22791773778667
40,125.33531841436348,0.001,118.06101809459649
41,124.62772167829212,0.001,113.87651296384097
42,124.54918984938838,0.001,115.61979396668464
43,123.44522023019299,0.001,111.71242782150252
44,123.42877846507074,0.00080000004,114.37575309745223
45,122.56232178160742,0.00080000004,114.66702731877213
46,121.29525575952748,0.00080000004,112.8500420132974
47,122.12261319463279,0.00080000004,112.34775934926165
48,120.4444293459021,0.00064000004,110.74068413231478
